,COUNT,RATE
FLAG_VP_MPS_SUSPICIOUS,0,0.0
FLAG_VS_MPS_SUSPICIOUS,0,0.0
FLAG_RHOB_KG_M3_SUSPICIOUS,34,0.0018151727083444557
FLAG_POISSON_SUSPICIOUS,13,0.0006940366237787625
FLAG_VP_VS_SUSPICIOUS,24,0.0012812983823607923
FLAG_ELASTIC_MODULUS_NEGATIVE,0,0.0
