DEPTH_INTERVAL,GR_count,GR_mean,GR_median,GR_std,GR_min,GR_max,VSH_GR_LINEAR_count,VSH_GR_LINEAR_mean,VSH_GR_LINEAR_median,VSH_GR_LINEAR_std,VSH_GR_LINEAR_min,VSH_GR_LINEAR_max,RHOB_count,RHOB_mean,RHOB_median,RHOB_std,RHOB_min,RHOB_max,VP_MPS_count,VP_MPS_mean,VP_MPS_median,VP_MPS_std,VP_MPS_min,VP_MPS_max,VS_MPS_count,VS_MPS_mean,VS_MPS_median,VS_MPS_std,VS_MPS_min,VS_MPS_max,AI_count,AI_mean,AI_median,AI_std,AI_min,AI_max,SI_count,SI_mean,SI_median,SI_std,SI_min,SI_max,VP_VS_RATIO_count,VP_VS_RATIO_mean,VP_VS_RATIO_median,VP_VS_RATIO_std,VP_VS_RATIO_min,VP_VS_RATIO_max,POISSON_RATIO_count,POISSON_RATIO_mean,POISSON_RATIO_median,POISSON_RATIO_std,POISSON_RATIO_min,POISSON_RATIO_max,YOUNG_MODULUS_PA_count,YOUNG_MODULUS_PA_mean,YOUNG_MODULUS_PA_median,YOUNG_MODULUS_PA_std,YOUNG_MODULUS_PA_min,YOUNG_MODULUS_PA_max,RDEP_count,RDEP_mean,RDEP_median,RDEP_std,RDEP_min,RDEP_max,QC_FLAG_COUNT_count,QC_FLAG_COUNT_mean,QC_FLAG_COUNT_median,QC_FLAG_COUNT_std,QC_FLAG_COUNT_min,QC_FLAG_COUNT_max,FEATURE_QC_FLAG_COUNT_count,FEATURE_QC_FLAG_COUNT_mean,FEATURE_QC_FLAG_COUNT_median,FEATURE_QC_FLAG_COUNT_std,FEATURE_QC_FLAG_COUNT_min,FEATURE_QC_FLAG_COUNT_max
"(349.999, 400.0]",133,72.17542043127068,72.242050171,5.833188451808467,58.58600235,87.171234131,133,0.33201238391902654,0.3328479672398471,0.07315224398797002,0.1615916208409125,0.5200703271217091,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,133,0.9595385758503759,0.9730232358,0.19896896666456645,0.643297255,1.9555432796,185,0.0,0.0,0.0,0,0,185,0.0,0.0,0.0,0,0
"(400.0, 450.0]",329,64.5209003465775,66.391662598,13.702927909599506,10.533462524,90.093803406,329,0.25380936865653025,0.25948003429888417,0.1196957657769645,0.0,0.5567213803909142,0,,,,,,316,1865.078921060784,1853.017967768987,73.36332493188726,1743.058420114916,2108.241460762654,269,751.6880546521007,747.3811579586674,29.41653116883371,688.5110859459451,825.3640996363451,0,,,,,,0,,,,,,269,2.4981247840859524,2.500799264379757,0.11750086724996626,2.204505670317514,2.7562806127494253,269,0.40361958349763655,0.404834356826263,0.011111030621455594,0.3704611279583958,0.42420892477341743,0,,,,,,329,4.609453028634954,3.5927343369,9.922277815788146,0.2410391867,132.88771057,329,1.3161094224924013,2.0,1.2060879867955956,0,6,329,0.0,0.0,0.0,0,0
"(450.0, 500.0]",329,84.19342644531002,84.235153198,11.883867162267414,30.279743195,110.26137543,329,0.48404853992608177,0.4832498282549781,0.14386874332430682,0.0,0.8096367733244673,0,,,,,,329,1881.1893305206345,1930.4457946850582,128.706318580164,1657.6755084918452,2213.6180571632526,242,766.168088632669,766.7810326660921,21.72978235899309,714.484379386569,808.9984708814139,0,,,,,,0,,,,,,242,2.5424171070132013,2.542661691241938,0.11386863022171709,2.1162887358093,3.0217502339393576,242,0.4076353423227296,0.4085107908390594,0.010541238794255522,0.35626723770166746,0.43850675568388303,0,,,,,,329,2.773447182404863,2.5042383671,1.0153537238013723,0.7195081115,9.1733608246,329,0.6717325227963525,0.0,0.9667444621341731,0,4,329,0.0,0.0,0.0,0,0
"(500.0, 550.0]",328,80.2386820578003,87.845252991,22.267243960361082,9.3974046707,113.03172302,328,0.45977060535784814,0.5285229928475912,0.21074226817063757,0.0,0.8443788606939117,0,,,,,,328,1894.1505311409537,1934.0758929668086,118.51004015238784,1716.2031815757457,2171.3459212588054,240,800.0163289323752,808.2760466213051,29.39499637447945,718.4018351601277,848.7876861121035,0,,,,,,0,,,,,,240,2.4415032643855437,2.418471964500674,0.10248975178588351,2.1790941127399157,2.7209792668319475,240,0.398421579672436,0.39688599400195423,0.009986029561460948,0.3666115737670712,0.421920483398865,0,,,,,,328,2.4365777331545733,2.5410567522000003,0.9690286496207964,0.4053551555,8.7012090683,328,0.3475609756097561,0.0,0.8172042456725385,0,6,328,0.0,0.0,0.0,0,0
"(550.0, 600.0]",329,94.66159182841642,93.793960571,5.554274701036298,81.145591736,112.56525421,329,0.6140046270959703,0.6031239271222815,0.06965447138613326,0.444504576708376,0.8385290170819986,0,,,,,,329,1960.957832539393,1965.2927222605902,37.211072537933994,1852.0404283249165,2040.1707277596224,329,808.7549807992868,809.5341279853309,24.050935343050288,738.8409833830084,896.6395966503911,0,,,,,,0,,,,,,329,2.4268909379211117,2.4223661349634606,0.08815101277171225,2.1600114865980418,2.698806404022371,329,0.3971164984021168,0.39728541143665114,0.009188512990434767,0.3635985291755525,0.42042722313744674,0,,,,,,329,2.528300627748328,2.5436179638,0.16799198805068244,1.9927819967,2.8087604046,329,0.0364741641337386,0.0,0.2680229674268194,0,2,329,0.0,0.0,0.0,0,0
"(600.0, 650.0]",329,94.96670597148632,94.765975952,5.4138247822642676,81.802986145,111.13341522,329,0.6178309708567502,0.61531367667322,0.06789313162984319,0.4527487602455265,0.8205727593657756,0,,,,,,329,2042.8121558805208,2053.216824482318,39.90911465589575,1919.1490609119544,2118.114327058309,329,858.5570856507939,860.1373748355279,18.38175438565069,802.1248462761088,943.8662079718106,0,,,,,,0,,,,,,329,2.3801638372922977,2.3816930338578843,0.05854367475669223,2.1878663979979476,2.56778528588841,329,0.3925141706445221,0.3929900272495509,0.006560132147095529,0.3679609791854026,0.41061087006388536,0,,,,,,329,2.5175105431142857,2.5419557095,0.15893317137565857,1.9543883801,2.7950181961,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(650.0, 700.0]",329,95.4611402006687,96.428283691,8.749137246090147,65.052474976,118.25712585,329,0.624031520293472,0.6361601729438348,0.10972027182008773,0.24268568923707823,0.9099090498715096,0,,,,,,329,2133.9974627861616,2128.5157068235517,100.79687762908122,1892.6198960829304,2419.9691521355603,329,932.4312140510237,937.74453901115,41.77395873332134,834.6371591838486,1027.0485237930327,0,,,,,,0,,,,,,329,2.2907978221467067,2.2972916021410374,0.10530298495872079,2.0362316100743256,2.7438528886872904,329,0.3811062947267071,0.38311062375882293,0.013243494628003314,0.3410801045295885,0.42341541134445065,0,,,,,,329,2.8171022249948328,2.7240924835,0.3760922593369549,1.8129671812,3.692845583,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(700.0, 750.0]",329,99.79135027484499,99.590751648,7.616855116519256,77.458114624,120.33213806,329,0.6783353691202832,0.6758197226919449,0.09552066567159967,0.3982610466689088,0.9359311475146737,0,,,,,,329,2152.2534651382675,2106.175052991155,127.58213298960621,1933.1883976875401,2487.845163330857,319,977.600650103183,974.5802406260946,50.96643718875529,876.2924820764862,1103.466294450977,0,,,,,,0,,,,,,319,2.204451855305631,2.2047799873403147,0.08527852186087871,2.0109127132331293,2.4372338170346755,319,0.3694606077491204,0.3705017082478733,0.012825983186739514,0.33573002893899934,0.3987876517502859,0,,,,,,329,2.6103657494902737,2.6216511726,0.2969421150321584,2.0331268311,3.1477210522,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(750.0, 800.0]",329,98.85448997290274,98.332466125,12.431482378918911,63.095462799,127.50893402,329,0.666384322163803,0.6600399462719857,0.15545110322803068,0.21814339415402673,1.0,0,,,,,,329,2261.717858634796,2253.704360731534,166.92842562780018,1948.9640290623483,2642.946543998621,329,1022.0349115472665,1034.288913873206,95.0163626912045,764.5752615869161,1226.6852959917549,0,,,,,,0,,,,,,329,2.2222130487946368,2.2025551950764144,0.15194095687411566,1.89654587813737,2.698905159140222,329,0.3702211733811723,0.37017200141822226,0.020869251220208534,0.3074617259198608,0.4204339729461998,0,,,,,,329,2.670303953093009,2.6545431614,0.5542401485749902,1.2579613924,4.2516036034,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(800.0, 850.0]",329,65.54607070181763,65.085784912,8.028171942550452,40.109516144,91.253471375,329,0.24938295200072297,0.24310341902339086,0.0992507369775326,0.0,0.5712644240306274,0,,,,,,329,1984.6074129138083,1983.7224386185392,18.28787723783391,1931.4692497041237,2075.6838717601486,329,782.7624301013129,780.2477684775589,16.602355285809182,746.7127607632591,828.9821525866822,0,,,,,,0,,,,,,329,2.5364466096195954,2.5387887084509098,0.05524563862816677,2.37978673011471,2.745106305476742,329,0.4077874949803798,0.40818019192312416,0.004736695771402033,0.3927817427089566,0.42349603098482325,0,,,,,,329,1.3910936979534954,1.3179665804,0.40938540519721855,1.1887272596,5.1173071861,329,0.1702127659574468,0.0,0.6209455935928584,0,4,329,0.0,0.0,0.0,0,0
