FIELD,EXISTS,NON_NULL,FILL_RATE,MIN,MAX
DEPTH,True,329,1.0,2350.1364,2399.992400000014
rho_kg_m3,True,329,1.0,2369.907270772733,2531.487963426925
vp_mps,True,329,1.0,3226.722407442665,4564.744311178875
vs_mps,True,329,1.0,1739.6377482050527,2251.3234672843846
nu,True,329,1.0,0.2766746271066862,0.34063356371352627
G_pa,True,329,1.0,7226831727.753093,12256840817.437845
K_pa,True,329,1.0,14991619130.68573,33003964238.27161
E_pa,True,329,1.0,18722214064.78551,32786153018.22952
physics_ready_valid,True,329,1.0,1.0,1.0
