,VALUE
WELL_NAME_FROM_FILE,TFT-4
WELL_NAME_FROM_HEADER,TFT-4
FIELD,Tin Fouye Tabankort
COMPANY,SONATRACH
SERVICE_COMPANY,Weatherford
DATE,2018-12-06 00:00:00   : Log Export Date {yyyy-MM-dd HH:mm
STRT,372.0084
STOP,3218.9927
STEP,0.152
NULL,-999.25
