COLUMN,DTYPE,NON_NULL_COUNT,NULL_COUNT,FILL_RATE
WELL,str,329,0,1.0
DEPTH,float64,329,0,1.0
rho_kg_m3,float64,329,0,1.0
vp_mps,float64,329,0,1.0
vs_mps,float64,329,0,1.0
nu,float64,329,0,1.0
G_pa,float64,329,0,1.0
K_pa,float64,329,0,1.0
E_pa,float64,329,0,1.0
ai,float64,329,0,1.0
si,float64,329,0,1.0
vsh,float64,329,0,1.0
SOURCE_DEPTH_MIN,float64,329,0,1.0
SOURCE_DEPTH_MAX,float64,329,0,1.0
MESH_STEP,float64,329,0,1.0
physics_ready_valid,bool,329,0,1.0
