DEPTH_INTERVAL,DEPTH_MIN,DEPTH_MAX,N_SAMPLES,RHOB_FILL,VP_FILL,VS_FILL,E_FILL,HOMOGENEITY_MEDIAN,ANOMALY_MEDIAN,QUALITY_MEDIAN,VSH_MEDIAN,AI_MEDIAN,VP_MEDIAN,VS_MEDIAN,E_MEDIAN,NU_MEDIAN,ELASTIC_FILL_SCORE,PHYSICS_READY_SCORE
"(2000.0, 2050.0]",2000.0804,2049.9364,329,0.8662613981762918,1.0,0.9331306990881459,0.8662613981762918,0.4509163662978014,0.46793908053841865,0.7529431673962561,0.0,10231529.614196464,3973.298105053459,2093.456527233334,26711886365.86669,0.31040387705709227,0.9164133738601823,0.7070067627342597
"(2850.0, 2900.0]",2850.0644,2899.9204,329,1.0,1.0,1.0,1.0,0.8292891705424352,0.3286918657922007,0.23213535579068717,0.7686654792616363,9837661.965565922,3847.8989659793356,2150.3420944069176,30201329143.989346,0.2723152923021339,1.0,0.699537674919608
"(2250.0, 2300.0]",2250.1204,2299.9764,329,1.0,1.0,1.0,1.0,0.3993470458460441,0.3077241593175811,0.6228555512057188,0.35193810396273273,8287971.389953389,3521.2902401417728,1831.2663527102334,21111557096.602924,0.30573688695576784,1.0,0.6965264518825794
"(2800.0, 2850.0]",2800.0564,2849.9124,329,1.0,1.0,1.0,1.0,0.7673491238521599,0.27873800050422476,0.23549633974995132,0.863676522813116,9093681.619908197,3590.100135413966,1977.4225423629412,25360791440.190273,0.28035964505128586,1.0,0.685046479543376
"(2300.0, 2350.0]",2300.1284,2349.9844,329,1.0,1.0,1.0,1.0,0.5245576688679259,0.22814377821280696,0.4011886106894801,0.6780447126926272,8397728.71416647,3474.6368506892936,1844.4303766716664,21384901680.452347,0.30244136376281444,1.0,0.6778844819085794
"(2750.0, 2800.0]",2750.0484,2799.9044,329,1.0,1.0,1.0,1.0,0.6518794852693348,0.34394578108978596,0.331268227424663,0.664832644575351,9418077.986502063,3743.8898749025975,2090.6449909413436,28038133114.68554,0.2727960725418793,1.0,0.6773876847555409
"(2900.0, 2950.0]",2900.0724,2949.9284,329,1.0,1.0,1.0,1.0,0.523452651308936,0.4337579550708779,0.413009041837837,0.5136916716354724,9830869.60822538,3924.9112760890403,2215.489370055835,31051786469.865135,0.2581714154421951,1.0,0.6546937609251867
"(2050.0, 2100.0]",2050.0884,2099.9444,329,1.0,1.0,1.0,1.0,0.9392708441663549,0.6542878979813269,0.3,1.0,5424790.748253066,2395.0717717052994,1359.2769584660446,10625113907.060972,0.273457597789212,1.0,0.6489601314453234
"(2550.0, 2600.0]",2550.0164,2599.8724,329,1.0,1.0,1.0,1.0,0.3556470782319853,0.3465361229624598,0.443096009721168,0.5527221390689208,8931113.869998336,3688.665252532298,2006.0981030521546,25078751447.952374,0.2850777932112028,1.0,0.6307967325167876
"(3100.0, 3150.0]",3100.1044,3149.9604,329,1.0,1.0,1.0,1.0,0.4706738924290903,0.4376449553513591,0.359982281496047,0.5577305910704915,10041844.937376333,3995.406977873651,2215.333592991363,31314053355.235123,0.2701697671379352,1.0,0.6283637651543587
